Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Flex,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,30000
S,Sedan,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,45000
Cerato,Sedan,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,45500
Tahoe,SUV,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,125000
Murano,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2008,1.0,300,9500
S,Sedan,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,63000
Senta fe,SUV,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,63000
Land Cruiser 70,SUV,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,80000
Expedition,SUV,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,60000
Altima,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,44000
3,Sedan,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,54000
Altima,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,37000
Pick up,Pickup,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,35000
Charger,Sedan,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,79000
H6,SUV,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,70000
Hilux,Pickup,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,81000
Corolla,Sedan,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,48000
Hiace,Van,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,68500
Taurus,Sedan,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,80000
Sunny,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
Fusion,Sedan,Jazan,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
Aveo,Sedan,Qassim,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
Sonata,Sedan,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
Cerato,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
CX9,SUV,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
Expedition,SUV,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
Flex,SUV,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
Optima,Sedan,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
Azera,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
