Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90000,48500
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2017,1.5,109763,21500
Senta fe,SUV,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,3.3,16700,52000
LS,Sedan,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.6,27000,360000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2017,5.7,50000,245000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,149000,149000
Hilux,Pickup,Aseer,Toyota,Manual,Saudi,Full,2019,2.7,28000,72500
CX9,SUV,Dammam,Mazda,Automatic,Saudi,Standard,2020,2.5,31200,110000
Taurus,Sedan,Al-Ahsa,Ford,Automatic,Other,Semi Full,2019,3.5,108000,88000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.4,191000,45000
Elantra,Sedan,Jeddah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,51000,42000
Odyssey,Minivan,Jeddah,Honda,Automatic,Saudi,Standard,2020,3.5,40000,100000
E,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,3.0,117000,110000
G80,Sedan,Riyadh,Genesis,Automatic,Gulf Arabic,Full,2017,3.8,66000,119000
Coupe,Convertible,Dammam,Genesis,Automatic,Saudi,Full,2014,3.8,89000,65000
Ciocca,Sedan,Makkah,Toyota,Automatic,Saudi,Semi Full,2009,5.7,275000,55000
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.4,168000,29000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.7,145997,64000
Cayenne S,SUV,Dammam,Porsche,Automatic,Saudi,Full,2014,3.0,118000,145000
Suburban,SUV,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,164000,110000
Cayenne Turbo,SUV,Riyadh,Porsche,Automatic,Other,Full,2008,4.8,152750,50000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2013,1.0,495,90000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,102109,35000
CX9,SUV,Jeddah,Mazda,Automatic,Saudi,Full,2014,3.5,195000,46000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,88795,26500
Marquis,Sedan,Riyadh,Ford,Automatic,Other,Full,2010,5.0,270000,19000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,120346,257000
Rav4,SUV,Al-Ahsa,Toyota,Automatic,Other,Full,2018,2.7,56625,82500
Camry,Sedan,Riyadh,Toyota,Manual,Saudi,Standard,2008,2.5,298000,20000
Colorado,Pickup,Dammam,Chevrolet,Manual,Saudi,Standard,2013,2.0,196000,28000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,54000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,36000,400000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,157000,60000
C,Sedan,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,54000,153000
Sunny,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2016,1.5,200000,20000
Suburban,SUV,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2004,5.3,111878,15000
Optima,Sedan,Dammam,Kia,Automatic,Saudi,Full,2016,2.4,161000,68000
Furniture,Other,Jeddah,Toyota,Automatic,Saudi,Standard,2020,2.7,1200,110000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,131000,67000
Attrage,Sedan,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,15000,25000
RX,SUV,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,73000,110000
E,Sedan,Riyadh,Mercedes,Automatic,Saudi,Full,2021,2.0,7000,290000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,145000,95000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,133000,25000
Camry,Sedan,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2019,2.5,34727,83000
3,Sedan,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.0,74000,55000
Charger,Sedan,Jeddah,Dodge,Automatic,Saudi,Full,2014,5.7,178,50000
Charger,Sedan,Al-Medina,Dodge,Automatic,Saudi,Semi Full,2019,3.6,56000,108000
C,Sedan,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,73000,90000
3,Sedan,Dammam,Mazda,Automatic,Gulf Arabic,Full,2017,1.6,92000,59000
Elantra,Sedan,Aseer,Hyundai,Automatic,Saudi,Standard,2020,1.6,15800,58000
Vitara,SUV,Qassim,Suzuki,Manual,Saudi,Standard,2006,1.0,139000,12000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2014,4.0,25000,115000
Range Rover,SUV,Jeddah,Land Rover,Automatic,Saudi,Full,2014,5.0,97500,195000
Dyna,Truck,Dammam,Isuzu,Manual,Saudi,Standard,2013,7.0,300,82000
Kaptiva,SUV,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,1.9,50000,27000
C300,Sedan,Dammam,Chrysler,Automatic,Saudi,Full,2013,1.0,220,42000
Tucson,SUV,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,120000,32000
Nativa,SUV,Hail,Mitsubishi,Automatic,Saudi,Semi Full,2010,3.0,244,17000
Dokker,Van,Riyadh,Renault,Manual,Saudi,Standard,2016,1.5,122000,21500
Traverse,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2017,2.4,110000,49000
C300,Sedan,Riyadh,Chrysler,Automatic,Saudi,Standard,2017,3.6,133000,70000
CLS,Sedan,Dammam,Mercedes,Automatic,Saudi,Full,2007,6.3,178000,33000
E,Sedan,Dammam,Mercedes,Automatic,Other,Full,2017,2.0,66000,162000
Victoria,Sedan,Yanbu,Ford,Automatic,Saudi,Standard,2011,4.6,128000,43000
Prado,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,89000,151000
Suburban,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2011,5.3,282000,60000
Yaris,Hatchback,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,1.2,82000,34000
ML,SUV,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2013,5.5,140000,120000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,237000,42000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Full,2009,2.7,400,32000
Datsun,Sedan,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.5,174436,35000
S,Sedan,Dammam,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,70000,290000
Cerato,Sedan,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,30799,45000
Victoria,Sedan,Al-Ahsa,Ford,Automatic,Saudi,Semi Full,2008,4.6,3666,16000
H1,Van,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2016,2.4,154000,54000
6,Sedan,Riyadh,Mazda,Automatic,Saudi,Semi Full,2014,2.0,250000,31000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,103358,48500
Prado,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2018,4.0,80000,142000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,20939,57500
ES,Sedan,Dammam,Lexus,Automatic,Other,Full,2016,3.5,50000,126000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2012,2.5,221000,30000
ES,Sedan,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,75000,125000
The 7,Sedan,Dammam,BMW,Automatic,Saudi,Full,2016,2.0,134000,150000
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Full,2017,1.6,140000,30000
Mustang,Sports Car,Riyadh,Ford,Automatic,Other,Full,2019,2.3,52000,139000
Yukon,SUV,Tabouk,GMC,Automatic,Saudi,Standard,2012,5.3,235000,67000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,147000,24000
LF X60,SUV,Jeddah,Lifan,Automatic,Saudi,Full,2016,1.6,128000,25000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Full,2015,3.0,197000,58000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Semi Full,2018,1.5,58244,30000
Ciocca,Sedan,Jubail,Toyota,Automatic,Saudi,Semi Full,2010,5.7,270000,65000
The 3,Sedan,Jeddah,BMW,Automatic,Saudi,Full,2011,2.5,74000,35000
S,Sedan,Dammam,Mercedes,Automatic,Saudi,Standard,2016,3.0,60000,210000
Hilux,Pickup,Aseer,Toyota,Manual,Saudi,Full,2015,2.7,276,57000
C,Sedan,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2015,2.0,99000,91500
FJ,SUV,Tabouk,Toyota,Automatic,Saudi,Full,2016,4.0,148,98000
Hilux,Pickup,Aseer,Toyota,Manual,Saudi,Full,2018,2.7,48000,90000
Rav4,SUV,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017,2.4,190000,60000
Marquis,Sedan,Riyadh,Ford,Automatic,Other,Full,2008,4.6,171000,27000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.4,111,22000
Tucson,SUV,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.6,146000,75000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2020,5.7,124000,250000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,105499,25000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2016,3.5,152000,70000
A3,Hatchback,Riyadh,Audi,Automatic,Saudi,Semi Full,2016,1.4,70278,69500
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Full,2018,2.7,94458,91500
Victoria,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2008,4.6,21000,13000
Sierra,Pickup,Dammam,GMC,Automatic,Saudi,Standard,2013,5.3,300000,45000
Furniture,Other,Qassim,Toyota,Automatic,Saudi,Semi Full,2021,2.4,29000,145000
Spark,Hatchback,Riyadh,Chevrolet,Automatic,Saudi,Standard,2020,1.4,16000,27000
Avalon,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2019,3.5,43418,115000
Azera,Sedan,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019,3.5,44271,95000
C,Sedan,Dammam,Mercedes,Automatic,Saudi,Full,2019,2.0,40000,210000
CX5,SUV,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2014,2.5,110000,41000
Fluence,Sedan,Riyadh,Renault,Automatic,Saudi,Standard,2015,1.6,121913,29000
Optima,Sedan,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,173544,37000
5,Sedan,Riyadh,MG,Automatic,Saudi,Full,2020,1.5,23000,44000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.2,43000,236000
Datsun,Sedan,Jazan,Nissan,Manual,Saudi,Full,2015,2.4,147000,45000
Camry,Sedan,Riyadh,Toyota,Manual,Saudi,Standard,2007,2.5,192000,20000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,188000,53000
Furniture,Other,Dammam,Toyota,Automatic,Saudi,Full,2015,4.0,26000,52000
Sierra,Pickup,Riyadh,GMC,Automatic,Other,Standard,2015,5.3,145000,87500
Explorer,SUV,Khobar,Ford,Automatic,Saudi,Standard,2005,4.0,300000,7000
Caprice,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Full,2009,6.3,211000,40000
Hilux,Pickup,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,2.7,90000,79000
Avanza,MPV,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,1.6,41000,45000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2019,4.6,52000,248000
Koleos,SUV,Riyadh,Renault,Automatic,Saudi,Full,2017,2.5,103503,64000
Pajero,SUV,Dammam,Mitsubishi,Automatic,Saudi,Full,2017,3.5,81000,72000
Hilux,Pickup,Dammam,Toyota,Manual,Gulf Arabic,Standard,2018,2.4,130000,80000
Prado,SUV,Aseer,Toyota,Automatic,Saudi,Semi Full,2015,4.0,160000,105000
Avalon,Sedan,Riyadh,Toyota,Automatic,Saudi,Semi Full,2021,3.5,6500,140000
Pajero,SUV,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016,3.8,146000,63000
Suburban,SUV,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,98000,140000
Innova,MPV,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,87000,70000
Hilux,Pickup,Jeddah,Toyota,Automatic,Saudi,Full,2016,2.8,97000,91000
Marquis,Sedan,Riyadh,Ford,Automatic,Other,Semi Full,2011,4.6,300000,22000
Accord,Sedan,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,106000,66000
Senta fe,SUV,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,149000,47000
Odyssey,Minivan,Riyadh,Honda,Automatic,Saudi,Semi Full,2016,3.5,185000,52000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,2.7,260000,65000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Standard,2016,3.5,137000,55000
F150,Pickup,Dammam,Ford,Automatic,Saudi,Standard,2011,5.0,133000,33000
ES,Sedan,Riyadh,Lexus,Automatic,Saudi,Semi Full,2015,3.5,246398,85000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,125000,245000
Senta fe,SUV,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2016,3.3,157000,69000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.4,19717,41500
ES,Sedan,Hail,Lexus,Automatic,Gulf Arabic,Semi Full,2015,3.5,161000,74000
Tucson,SUV,Jeddah,Hyundai,Automatic,Other,Semi Full,2016,2.4,119800,57000
ES,Sedan,Al-Ahsa,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,99000,129000
Yaris,Hatchback,Makkah,Toyota,Automatic,Saudi,Standard,2017,1.3,100000,27000
Senta fe,SUV,Al-Namas,Hyundai,Automatic,Saudi,Semi Full,2012,2.4,126000,42000
Sierra,Pickup,Riyadh,GMC,Automatic,Gulf Arabic,Full,2020,5.3,32000,158000
FJ,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,184000,100000
Datsun,Sedan,Tabouk,Nissan,Manual,Saudi,Full,2015,1.1,215267,31000
Cerato,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2017,1.6,97000,38500
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Standard,2016,2.7,220424,62000
H1,Van,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,140000,55000
Abeka,Sedan,Taef,Chevrolet,Automatic,Saudi,Full,2008,1.8,260,14000
Hiace,Van,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,134007,70000
GS,Sedan,Dammam,MG,Automatic,Saudi,Full,2016,1.5,139000,42000
Altima,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,40000,59000
Navara,Pickup,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,178754,45000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,97300,31000
C300,Sedan,Riyadh,Chrysler,Automatic,Saudi,Full,2019,5.7,45000,145000
Prado,SUV,Riyadh,Toyota,Automatic,Saudi,Semi Full,2018,4.0,56000,150000
LX,SUV,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,1700,498000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Standard,2018,2.7,275916,67000
Navara,Pickup,Jeddah,Nissan,Manual,Saudi,Full,2015,2.5,83000,45000
6,Sedan,Dammam,Mazda,Automatic,Saudi,Standard,2016,2.5,267000,50000
Ciocca,Sedan,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,5.7,114000,89000
Furniture,Other,Al-Jouf,Toyota,Automatic,Saudi,Semi Full,2016,2.4,120000,92000
Other,Other,Jeddah,Other,Manual,Other,Semi Full,2021,1.2,3000,5500
Expedition,SUV,Al-Ahsa,Ford,Manual,Saudi,Full,2012,4.8,304,38000
Sierra,Pickup,Khobar,GMC,Automatic,Saudi,Full,2021,5.3,2000,190000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016,4.0,243038,93500
Accord,Sedan,Jeddah,Honda,Automatic,Gulf Arabic,Full,2005,2.4,300000,11000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,106787,48500
Camry,Sedan,Jeddah,Toyota,Automatic,Saudi,Standard,2016,2.5,130000,55000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,75000,110000
Rav4,SUV,Makkah,Toyota,Automatic,Saudi,Full,2018,1.8,63000,90000
Sonata,Sedan,Aseer,Hyundai,Automatic,Saudi,Full,2016,2.4,230000,45000
Accord,Sedan,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,81000,95000
Furniture,Other,Riyadh,Toyota,Manual,Saudi,Semi Full,2015,4.0,70346,80500
The 5,Sedan,Jeddah,BMW,Automatic,Saudi,Semi Full,2019,2.0,29900,150000
Corolla,Sedan,Al-Medina,Toyota,Automatic,Saudi,Standard,2013,1.6,186000,27000
Prado,SUV,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,2.7,5000,153000
Sunny,Sedan,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,77000,28500
Camry,Sedan,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2015,2.4,140000,45000
CX9,SUV,Riyadh,Mazda,Automatic,Saudi,Semi Full,2016,3.0,230000,50000
Patrol,SUV,Dammam,Nissan,Automatic,Saudi,Semi Full,2016,5.6,50000,150000
Flying Spur,Sedan,Dammam,Bentley,Automatic,Saudi,Full,2010,5.0,58000,175000
Corolla,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,83000,45000
Camry,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,277000,48000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2015,5.7,119000,180000
Prado,SUV,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,250000,78000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,250000,70000
C,Sedan,Dammam,Mercedes,Automatic,Other,Full,2019,2.0,15000,175000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,105558,76500
Pilot,SUV,Riyadh,Honda,Automatic,Gulf Arabic,Full,2015,3.5,98000,75000
L200,Pickup,Jeddah,Mitsubishi,Manual,Saudi,Standard,2015,2.5,103000,30000
Charger,Sedan,Dammam,Dodge,Automatic,Other,Full,2016,3.6,101000,95000
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,1.5,42628,38500
Explorer,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2014,3.6,209500,56000
Elantra,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,172600,35000
Ranger,Pickup,Aseer,Ford,Manual,Saudi,Full,2015,3.2,145000,65000
FJ,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,1.6,74658,135000
Sierra,Pickup,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,86500,98000
Escalade,SUV,Dammam,Cadillac,Automatic,Other,Full,2016,6.2,119000,178000
CX5,SUV,Jeddah,Mazda,Automatic,Saudi,Full,2020,2.0,26000,112000
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,20406,132000
A7,Sedan,Makkah,Audi,Automatic,Saudi,Full,2017,2.0,127000,135000
Altima,Sedan,Qassim,Nissan,Automatic,Gulf Arabic,Full,2015,2.5,119500,47000
X-Trail,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2016,2.5,115000,50000
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,20000,130000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Saudi,Full,2015,3.0,71500,265000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Semi Full,2013,5.3,150000,65000
Accord,Sedan,Riyadh,Honda,Automatic,Saudi,Standard,2018,1.5,129000,68000
X,Sedan,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,2017,3.0,71000,170000
Avalon,Sedan,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,3.5,167,51000
S,Sedan,Qassim,Mercedes,Automatic,Saudi,Full,2018,3.5,53700,320000
F150,Pickup,Qassim,Ford,Automatic,Gulf Arabic,Full,2018,5.0,59790,135000
Caprice,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Standard,2014,6.0,35481,106500
Charger,Sedan,Dammam,Dodge,Automatic,Other,Full,2015,5.7,119000,105000
Quattroporte,Sedan,Dammam,Maserati,Automatic,Gulf Arabic,Full,2014,3.8,115000,125000
Malibu,Sedan,Abha,Chevrolet,Automatic,Saudi,Semi Full,2013,2.4,233000,20000
Other,Other,Jeddah,Honda,Manual,Saudi,Standard,2011,1.0,4200,6500
Furniture,Other,Dammam,Toyota,Automatic,Saudi,Semi Full,2019,2.7,37000,107000
Range Rover,SUV,Jeddah,Land Rover,Automatic,Gulf Arabic,Full,2016,3.5,122000,176000
Yaris,Hatchback,Al-Ahsa,Toyota,Automatic,Saudi,Standard,2019,1.5,36000,43000
FJ,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,6.0,50000,140000
Cerato,Sedan,Khobar,Kia,Automatic,Saudi,Standard,2016,1.6,62000,29750
ES,Sedan,Dammam,Lexus,Automatic,Other,Full,2017,3.0,69000,142000
Ciocca,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2016,5.7,134000,90000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,287928,58000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,55000,60000
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.7,236000,75000
Compass,SUV,Riyadh,Jeep,Automatic,Saudi,Semi Full,2019,2.4,43834,66000
Sonata,Sedan,Dammam,Hyundai,Automatic,Saudi,Full,2019,2.4,33000,85000
Range Rover,SUV,Dammam,Land Rover,Automatic,Saudi,Full,2019,3.5,38000,375000
Ranger,Pickup,Riyadh,Ford,Manual,Saudi,Full,2011,2.5,168000,24000
Prestige,Sedan,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,131000,74000
Cadenza,Sedan,Jeddah,Kia,Automatic,Saudi,Standard,2020,3.5,5000,108000
Hilux,Pickup,Wadi Dawasir,Toyota,Automatic,Saudi,Full,2020,2.4,30000,147000
Vego,Pickup,Jeddah,Ford,Automatic,Saudi,Standard,2019,1.5,47856,27500
Pajero,SUV,Qassim,Mitsubishi,Automatic,Gulf Arabic,Semi Full,2016,6.0,200000,53000
Viano,Van,Al-Medina,Mercedes,Automatic,Saudi,Full,2015,3.5,119000,99000
Accord,Sedan,Jeddah,Honda,Automatic,Other,Full,2010,2.4,205,30000
ES,Sedan,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,100000,115000
Sunny,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,92000,28500
Patrol,SUV,Dammam,Nissan,Automatic,Saudi,Full,2020,4.0,56000,225000
Prestige,Sedan,Riyadh,Genesis,Automatic,Saudi,Standard,2016,3.8,165000,84000
Bus Urvan,Bus,Dammam,Nissan,Manual,Gulf Arabic,Full,2010,2.7,2012,14500
Macan,SUV,Dammam,Porsche,Automatic,Saudi,Full,2016,3.0,86000,158000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,78000,63000
Sonata,Sedan,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2018,2.4,65000,64000
Innova,MPV,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,24552,76500
Rio,Hatchback,Dammam,Kia,Automatic,Saudi,Standard,2016,1.4,154000,23000
Suburban,SUV,Dammam,Chevrolet,Automatic,Other,Full,2016,5.3,192000,143000
Pajero,SUV,Dammam,Mitsubishi,Automatic,Saudi,Full,2016,3.5,126000,64000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.0,18197,53000
Blazer,SUV,Abha,Chevrolet,Automatic,Other,Full,2005,2.0,213000,13500
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Full,2020,1.5,2100,50000
Innova,MPV,Tabouk,Toyota,Automatic,Saudi,Full,2017,2.7,139400,58000
Innova,MPV,Riyadh,Toyota,Automatic,Saudi,Standard,2020,2.7,74000,75000
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017,1.4,174000,24000
IS,Sedan,Riyadh,Lexus,Automatic,Saudi,Full,2015,3.5,181000,60000
Hilux,Pickup,Makkah,Toyota,Manual,Saudi,Standard,2009,1.5,25788,30000
Yukon,SUV,Dammam,GMC,Automatic,Saudi,Standard,2007,5.3,221000,30000
Taurus,Sedan,Jeddah,Ford,Automatic,Saudi,Standard,2018,3.5,63000,80000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,136000,58000
Corolla,Sedan,Khobar,Toyota,Automatic,Saudi,Semi Full,2018,1.6,124000,40000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,19400,215000
Pathfinder,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2006,3.5,300,21000
Land Cruiser Pickup,Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2016,4.0,315,85000
RX,SUV,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59073,186500
CX3,Crossover,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.0,14501,66000
Rav4,SUV,Riyadh,Toyota,Automatic,Other,Full,2018,2.5,61000,83000
Land Cruiser Pickup,Pickup,Riyadh,Nissan,Automatic,Saudi,Full,2016,4.8,44000,95000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,91355,74500
Cerato,Sedan,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.5,30766,42000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,107320,130000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2016,5.3,146000,118000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2020,4.0,26000,235000
Traverse,SUV,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,3.6,22800,100000
Pajero,SUV,Khobar,Mitsubishi,Automatic,Saudi,Standard,2015,3.5,264000,38000
Navara,Pickup,Abha,Nissan,Manual,Saudi,Standard,2015,2.5,119000,37000
FJ,SUV,Aseer,Toyota,Automatic,Gulf Arabic,Full,2015,4.0,200000,88000
Camry,Sedan,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,2.5,42000,95000
Durango,SUV,Riyadh,Dodge,Automatic,Other,Semi Full,2012,5.7,315,20000
LS,Sedan,Riyadh,Lexus,Automatic,Saudi,Full,2008,4.6,130000,75000
